Card,Quantity,Pilot,Archetype,Event,Date Posted,Main/Sideboard,Mana Value,Mana Cost,Colours,Most Recent Printing,Card Text,Type Line,Price EUR,Price USD,Rarity
Fatal Push,4,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-08-07,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.",Instant,1.4,2.0,uncommon
"Sokenzan, Crucible of Defiance",1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {R}.
Channel — {3}{R}, Discard Sokenzan, Crucible of Defiance: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,3.38,3.11,rare
Bonecrusher Giant,4,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{2}{R},['R'],2022-06-10,,Creature — Giant // Instant — Adventure,0.48,0.41,rare
Blightstep Pathway,4,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-05-08,,Land // Land,,2.95,rare
Misery's Shadow,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{B},['B'],2022-11-18,"If a creature an opponent controls would die, exile it instead.
{1}: Misery's Shadow gets +1/+1 until end of turn.",Creature — Shade,1.55,0.79,rare
Reckoner Bankbuster,2,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{2},[],2022-02-18,"Reckoner Bankbuster enters the battlefield with three charge counters on it.
{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""
Crew 3",Artifact — Vehicle,4.54,3.08,rare
Thoughtseize,4,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-08-07,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Sorcery,19.95,16.4,rare
"Kroxa, Titan of Death's Hunger",1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{B}{R},"['B', 'R']",2020-01-24,"When Kroxa enters the battlefield, sacrifice it unless it escaped.
Whenever Kroxa enters the battlefield or attacks, each opponent discards a card, then each opponent who didn't discard a nonland card this way loses 3 life.
Escape—{B}{B}{R}{R}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",Legendary Creature — Elder Giant,5.65,3.81,mythic
Bloodtithe Harvester,4,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{B}{R},"['B', 'R']",2021-11-19,"When Bloodtithe Harvester enters the battlefield, create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")
{T}, Sacrifice Bloodtithe Harvester: Target creature gets -X/-X until end of turn, where X is twice the number of Blood tokens you control. Activate only as a sorcery.",Creature — Vampire,0.31,0.3,uncommon
Den of the Bugbear,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Den of the Bugbear enters the battlefield tapped.
{T}: Add {R}.
{3}{R}: Until end of turn, Den of the Bugbear becomes a 3/2 red Goblin creature with ""Whenever this creature attacks, create a 1/1 red Goblin creature token that's tapped and attacking."" It's still a land.",Land,8.46,5.31,rare
"Sheoldred, the Apocalypse",3,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{B}{B},['B'],2022-09-09,"Deathtouch
Whenever you draw a card, you gain 2 life.
Whenever an opponent draws a card, they lose 2 life.",Legendary Creature — Phyrexian Praetor,62.58,63.17,mythic
Fable of the Mirror-Breaker,4,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{2}{R},['R'],2022-02-18,,Enchantment — Saga // Enchantment Creature — Goblin Shaman,27.45,22.15,rare
Misery's Shadow,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{B},['B'],2022-11-18,"If a creature an opponent controls would die, exile it instead.
{1}: Misery's Shadow gets +1/+1 until end of turn.",Creature — Shade,1.55,0.79,rare
Noxious Grasp,2,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{B},['B'],2019-07-12,Destroy target creature or planeswalker that's green or white. You gain 1 life.,Instant,0.11,0.17,uncommon
Duress,2,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{B},['B'],2023-02-03,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",Sorcery,0.13,0.03,common
Unlicensed Hearse,2,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{2},[],2022-04-29,"{T}: Exile up to two target cards from a single graveyard.
Unlicensed Hearse's power and toughness are each equal to the number of cards exiled with it.
Crew 2",Artifact — Vehicle,12.23,5.31,rare
Abrade,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{R},['R'],2021-11-19,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",Instant,0.12,0.12,common
Kolaghan's Command,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{1}{B}{R},"['B', 'R']",2022-07-08,"Choose two —
• Return target creature card from your graveyard to your hand.
• Target player discards a card.
• Destroy target artifact.
• Kolaghan's Command deals 2 damage to any target.",Instant,3.37,1.6,rare
Extinction Event,2,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,4.0,{3}{B},['B'],2020-04-24,Choose odd or even. Exile each creature with mana value of the chosen quality. (Zero is even.),Sorcery,1.43,1.27,rare
Ratchet Bomb,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{2},[],2020-08-07,"{T}: Put a charge counter on Ratchet Bomb.
{T}, Sacrifice Ratchet Bomb: Destroy each nonland permanent with mana value equal to the number of charge counters on Ratchet Bomb.",Artifact,0.5,1.35,rare
Hidetsugu Consumes All,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{1}{B}{R},"['B', 'R']",2022-02-18,,Enchantment — Saga // Enchantment Creature — Ogre Shaman,4.29,2.29,mythic
Reckoner Bankbuster,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{2},[],2022-02-18,"Reckoner Bankbuster enters the battlefield with three charge counters on it.
{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""
Crew 3",Artifact — Vehicle,4.54,3.08,rare
Pithing Needle,1,Pilot 45,Rakdos Midrange,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{1},[],2022-07-08,"As Pithing Needle enters the battlefield, choose a card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",Artifact,1.09,0.87,rare
Fatal Push,3,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-08-07,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.",Instant,1.4,2.0,uncommon
Thoughtseize,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-08-07,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Sorcery,19.95,16.4,rare
Hive of the Eye Tyrant,3,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Hive of the Eye Tyrant enters the battlefield tapped.
{T}: Add {B}.
{3}{B}: Until end of turn, Hive of the Eye Tyrant becomes a 3/3 black Beholder creature with menace and ""Whenever this creature attacks, exile target card from defending player's graveyard."" It's still a land.",Land,7.25,3.88,rare
"Sheoldred, the Apocalypse",2,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{B}{B},['B'],2022-09-09,"Deathtouch
Whenever you draw a card, you gain 2 life.
Whenever an opponent draws a card, they lose 2 life.",Legendary Creature — Phyrexian Praetor,62.58,63.17,mythic
"Takenuma, Abandoned Mire",1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {B}.
Channel — {3}{B}, Discard Takenuma, Abandoned Mire: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,6.71,4.53,rare
"Otawara, Soaring City",1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {U}.
Channel — {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,17.98,12.58,rare
Swamp,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2016-09-02,"({T}: Add {B}.)
Leechridden Swamp enters the battlefield tapped.
{B}, {T}: Each opponent loses 1 life. Activate only if you control two or more black permanents.",Land — Swamp,0.39,0.95,uncommon
Jwari Disruption,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['L'],2020-09-25,,Instant // Land,0.32,0.31,uncommon
"Urborg, Tomb of Yawgmoth",1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-03-19,Each land is a Swamp in addition to its other land types.,Legendary Land,24.74,28.49,rare
Mutavault,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-06-10,"{T}: Add {C}.
{1}: Mutavault becomes a 2/2 creature with all creature types until end of turn. It's still a land.",Land,9.03,7.24,rare
Thieves' Guild Enforcer,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-07-03,"Flash
Whenever Thieves' Guild Enforcer or another Rogue enters the battlefield under your control, each opponent mills two cards.
As long as an opponent has eight or more cards in their graveyard, Thieves' Guild Enforcer gets +2/+1 and has deathtouch.",Creature — Human Rogue,0.5,0.21,rare
"Zareth San, the Trickster",1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,5.0,{3}{U}{B},"['B', 'U']",2020-09-25,"Flash
{2}{U}{B}, Return an unblocked attacking Rogue you control to its owner's hand: Put Zareth San, the Trickster from your hand onto the battlefield tapped and attacking.
Whenever Zareth San deals combat damage to a player, you may put target permanent card from that player's graveyard onto the battlefield under your control.",Legendary Creature — Merfolk Rogue,0.11,0.18,rare
Cling to Dust,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-01-24,"Exile target card from a graveyard. If it was a creature card, you gain 3 life. Otherwise, you draw a card.
Escape—{3}{B}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",Instant,0.3,0.16,uncommon
Watery Grave,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2018-10-05,"({T}: Add {U} or {B}.)
As Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Island Swamp,13.64,12.14,rare
Drown in the Loch,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{U}{B},"['B', 'U']",2022-06-10,"Choose one —
• Counter target spell with mana value less than or equal to the number of cards in its controller's graveyard.
• Destroy target creature with mana value less than or equal to the number of cards in its controller's graveyard.",Instant,0.95,0.48,uncommon
Brazen Borrower,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{U}{U},['U'],2019-10-04,,Creature — Faerie Rogue // Instant — Adventure,13.92,11.72,mythic
Shipwreck Marsh,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2021-09-24,"Shipwreck Marsh enters the battlefield tapped unless you control two or more other lands.
{T}: Add {U} or {B}.",Land,2.71,3.5,rare
Castle Locthwain,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-06-10,"Castle Locthwain enters the battlefield tapped unless you control a Swamp.
{T}: Add {B}.
{1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.",Land,3.76,1.97,rare
Merfolk Windrobber,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{U},['U'],2020-09-25,"Flying
Whenever Merfolk Windrobber deals combat damage to a player, that player mills a card. (They put the top card of their library into their graveyard.)
Sacrifice Merfolk Windrobber: Draw a card. Activate only if an opponent has eight or more cards in their graveyard.",Creature — Merfolk Rogue,0.06,0.1,uncommon
Nighthawk Scavenger,2,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{B}{B},['B'],2022-06-10,"Flying, deathtouch, lifelink
Nighthawk Scavenger's power is equal to 1 plus the number of card types among cards in your opponents' graveyards. (Cards in graveyards have only the characteristics of their front face.)",Creature — Vampire Rogue,1.22,0.23,rare
Go for the Throat,2,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{B},['B'],2023-04-21,Destroy target nonartifact creature.,Instant,0.23,0.26,uncommon
Clearwater Pathway,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-05-08,,Land // Land,,4.31,rare
Sheoldred's Edict,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{B},['B'],2023-02-03,"Choose one —
• Each opponent sacrifices a nontoken creature.
• Each opponent sacrifices a creature token.
• Each opponent sacrifices a planeswalker.",Instant,1.14,1.76,uncommon
Darkslick Shores,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-02-03,"Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {B}.",Land,3.34,2.18,rare
Soaring Thought-Thief,4,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{U}{B},"['B', 'U']",2020-09-25,"Flash
Flying
As long as an opponent has eight or more cards in their graveyard, Rogues you control get +1/+0.
Whenever one or more Rogues you control attack, each opponent mills two cards.",Creature — Human Rogue,0.1,0.13,uncommon
Invasion of Amonkhet,3,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,3.0,{1}{U}{B},"['B', 'U']",2023-04-21,,Battle — Siege // Creature — Zombie,0.21,0.17,uncommon
Island,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-10-13,({T}: Add {U}.),Basic Land — Island,,,common
Unlicensed Hearse,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{2},[],2022-04-29,"{T}: Exile up to two target cards from a single graveyard.
Unlicensed Hearse's power and toughness are each equal to the number of cards exiled with it.
Crew 2",Artifact — Vehicle,12.23,5.31,rare
Ray of Enfeeblement,3,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{B},['B'],2021-07-23,"Target creature gets -4/-1 until end of turn. If that creature is white, it gets -4/-4 until end of turn instead.",Instant,0.02,0.22,uncommon
Change the Equation,3,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{U},['U'],2023-04-21,"Choose one —
• Counter target spell with mana value 2 or less.
• Counter target red or green spell with mana value 6 or less.",Instant,0.33,0.27,uncommon
Cling to Dust,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{B},['B'],2020-01-24,"Exile target card from a graveyard. If it was a creature card, you gain 3 life. Otherwise, you draw a card.
Escape—{3}{B}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",Instant,0.3,0.16,uncommon
Extinction Event,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,4.0,{3}{B},['B'],2020-04-24,Choose odd or even. Exile each creature with mana value of the chosen quality. (Zero is even.),Sorcery,1.43,1.27,rare
Sheoldred,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,5.0,{4}{B},['B'],2011-05-13,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Whenever a source deals damage to Reaper of Sheoldred, that source's controller gets a poison counter.",Creature — Phyrexian Horror,0.6,0.9,uncommon
Nighthawk Scavenger,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{1}{B}{B},['B'],2022-06-10,"Flying, deathtouch, lifelink
Nighthawk Scavenger's power is equal to 1 plus the number of card types among cards in your opponents' graveyards. (Cards in graveyards have only the characteristics of their front face.)",Creature — Vampire Rogue,1.22,0.23,rare
Reckoner Bankbuster,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{2},[],2022-02-18,"Reckoner Bankbuster enters the battlefield with three charge counters on it.
{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""
Crew 3",Artifact — Vehicle,4.54,3.08,rare
Spell Pierce,1,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{U},['U'],2022-07-08,Counter target noncreature spell unless its controller pays {2}.,Instant,0.09,0.21,common
Disdainful Stroke,2,Pilot 46,Dimir Rogues,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{U},['U'],2022-04-29,Counter target spell with mana value 4 or greater.,Instant,0.06,0.07,common
Island,1,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-10-13,({T}: Add {U}.),Basic Land — Island,,,common
Blooming Marsh,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2016-09-30,"Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {G}.",Land,6.52,7.69,rare
Breeding Pool,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2019-01-25,"({T}: Add {G} or {U}.)
As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Forest Island,17.77,20.64,rare
"Boseiju, Who Endures",1,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {G}.
Channel — {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,36.47,28.17,rare
Overgrown Tomb,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2018-10-05,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Swamp Forest,10.48,14.2,rare
Stubborn Denial,3,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{U},['U'],2014-09-26,"Counter target noncreature spell unless its controller pays {1}.
Ferocious — If you control a creature with power 4 or greater, counter that spell instead.",Instant,1.52,2.51,uncommon
Thoughtseize,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-08-07,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Sorcery,19.95,16.4,rare
Otherworldly Gaze,3,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{U},['U'],2021-09-24,"Surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,0.46,0.3,common
Fatal Push,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{B},['B'],2020-08-07,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.",Instant,1.4,2.0,uncommon
Hooting Mandrills,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,6.0,{5}{G},['G'],2018-12-07,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Trample",Creature — Ape,0.26,0.1,common
Founding the Third Path,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2022-09-09,"Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.)
I — You may cast an instant or sorcery spell with mana value 1 or 2 from your hand without paying its mana cost.
II — Target player mills four cards.
III — Exile target instant or sorcery card from your graveyard. Copy it. You may cast the copy.",Enchantment — Saga,0.08,0.14,uncommon
Neoform,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{G}{U},"['G', 'U']",2019-05-03,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card with mana value equal to 1 plus the sacrificed creature's mana value, put that card onto the battlefield with an additional +1/+1 counter on it, then shuffle.",Sorcery,0.41,1.0,uncommon
Strategic Planning,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,2.0,{1}{U},['U'],2021-02-05,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,Sorcery,0.03,0.04,common
Mana Confluence,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2014-05-02,"{T}, Pay 1 life: Add one mana of any color.",Land,29.49,41.66,rare
Darkslick Shores,4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2023-02-03,"Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {B}.",Land,3.34,2.18,rare
"Atraxa, Grand Unifier",3,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,7.0,{3}{G}{W}{U}{B},"['B', 'G', 'U', 'W']",2023-02-03,"Flying, vigilance, deathtouch, lifelink
When Atraxa, Grand Unifier enters the battlefield, reveal the top ten cards of your library. For each card type, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order. (Artifact, battle, creature, enchantment, instant, land, planeswalker, and sorcery are card types.)",Legendary Creature — Phyrexian Angel,25.12,17.86,mythic
Botanical Sanctum,3,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2016-09-30,"Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",Land,8.94,6.88,rare
Watery Grave,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,0.0,,['L'],2018-10-05,"({T}: Add {U} or {B}.)
As Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Island Swamp,13.64,12.14,rare
"Tasigur, the Golden Fang",4,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,6.0,{5}{B},['B'],2018-12-07,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
{2}{G/U}{G/U}: Mill two cards, then return a nonland card of an opponent's choice from your graveyard to your hand.",Legendary Creature — Human Shaman,0.2,0.39,rare
Consider,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Mainboard,4.0,{2}{U}{U},['U'],2021-03-19,"Target player draws four cards, then discards three cards. If you cast this spell during your main phase, instead that player draws four cards, then discards two cards.",Instant,0.1,0.12,uncommon
Mystical Dispute,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{2}{U},['U'],2019-10-04,"This spell costs {2} less to cast if it targets a blue spell.
Counter target spell unless its controller pays {3}.",Instant,0.28,0.25,uncommon
Aether Gust,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{1}{U},['U'],2019-07-12,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,Instant,0.33,0.37,uncommon
Ray of Enfeeblement,3,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{B},['B'],2021-07-23,"Target creature gets -4/-1 until end of turn. If that creature is white, it gets -4/-4 until end of turn instead.",Instant,0.02,0.22,uncommon
Dragonlord Atarka,1,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,7.0,{5}{R}{G},"['G', 'R']",2015-03-27,"Flying, trample
When Dragonlord Atarka enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control.",Legendary Creature — Elder Dragon,5.3,6.72,mythic
Glissa Sunslayer,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,3.0,{1}{B}{G},"['B', 'G']",2023-02-03,"First strike, deathtouch
Whenever Glissa Sunslayer deals combat damage to a player, choose one —
• You draw a card and you lose 1 life.
• Destroy target enchantment.
• Remove up to three counters from target permanent.",Legendary Creature — Phyrexian Zombie Elf,1.61,1.66,rare
Abrupt Decay,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,2.0,{B}{G},"['B', 'G']",2017-03-17,"This spell can't be countered.
Destroy target nonland permanent with mana value 3 or less.",Instant,4.0,3.81,rare
Duress,2,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,1.0,{B},['B'],2023-02-03,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",Sorcery,0.13,0.03,common
"Jegantha, the Wellspring",1,Pilot 47,Neoform Atraxa,Dreamhack Magic Showdown,2023-06-07,Sideboard,5.0,{4}{R/G},"['G', 'R']",2020-04-24,"Companion — No card in your starting deck has more than one of the same mana symbol in its mana cost. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
{T}: Add {W}{U}{B}{R}{G}. This mana can't be spent to pay generic mana costs.",Legendary Creature — Elemental Elk,1.15,0.83,rare
Mountain,1,Pilot 48,Rakdos Sacrifice,Dreamhack Magic Showdown,2023-06-07,Mainboard,1.0,{R},['R'],2008-10-03,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),Creature — Goblin Scout,0.05,0.08,common
